check_id,check_name,check_category,issue_severity,status,records_checked,failed_records,failure_rate,reporting_impact,recommended_action,run_timestamp
DQ-01,Crash ID is populated,completeness,critical,PASS,913464,0,0.0,A missing crash ID prevents reliable record tracing.,Stop publication and investigate the source record.,2026-07-18 23:39:39.488337+12
DQ-02,Crash ID is unique,uniqueness,critical,PASS,913464,0,0.0,Duplicate IDs can double-count crashes and casualties.,Resolve duplicate keys before using aggregates.,2026-07-18 23:39:39.488337+12
DQ-03,Injury counts are non-negative,validity,high,PASS,913464,0,0.0,Negative casualty counts invalidate outcome metrics.,Correct or exclude invalid source records.,2026-07-18 23:39:39.488337+12
DQ-04,Fatal severity agrees with fatal count,consistency,high,PASS,913464,0,0.0,Severity and casualty measures could tell conflicting stories.,Review the source classification and casualty counts.,2026-07-18 23:39:39.488337+12
DQ-05,Non-injury crashes have no fatal or serious counts,consistency,high,PASS,913464,0,0.0,Serious outcomes could be hidden in a non-injury category.,Review source definitions before reporting severity.,2026-07-18 23:39:39.488337+12
DQ-06,Crash year aligns with financial year,validity,high,PASS,913464,0,0.0,Invalid periods can distort annual and financial-year trends.,Correct invalid periods before time-based reporting.,2026-07-18 23:39:39.488337+12
DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,913464,5,5.47e-06,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2026-07-18 23:39:39.488337+12
DQ-08,Fine geographic reference is complete,completeness,medium,REVIEW,913464,4,4.38e-06,Missing area-unit or meshblock values limit detailed mapping.,Use national reporting normally and caveat fine-grained geography.,2026-07-18 23:39:39.488337+12
DQ-09,Crash severity uses an expected category,validity,high,PASS,913464,0,0.0,Unexpected categories can fragment or omit severity totals.,Map new values explicitly before reporting.,2026-07-18 23:39:39.488337+12
DQ-10,Region reference is populated,completeness,medium,MONITOR,913464,3474,0.00380311,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2026-07-18 23:39:39.488337+12
DQ-11,Non-injury crashes have no minor injury count,consistency,medium,REVIEW,913464,56,6.131e-05,Minor injury counts attached to non-injury crashes need definition review.,Keep as a monitored exception and avoid silent reclassification.,2026-07-18 23:39:39.488337+12
DQ-12,Required injury counts are populated,completeness,high,REVIEW,913464,1,1.09e-06,Missing injury counts can understate casualties.,Review the record and document any retained exception.,2026-07-18 23:39:39.488337+12
